order_id,customer_id,product_id,quantity,order_date
71,75,3,3,2026-07-13
72,11,7,3,2025-11-20
73,84,7,5,2026-02-07
74,61,4,4,2025-12-15
75,74,3,3,2026-04-03
76,15,7,1,2026-01-23
77,65,8,1,2025-08-12
78,62,3,5,2025-08-08
79,59,1,4,2026-03-31
80,71,3,4,2025-12-04
81,42,8,1,2026-05-30
82,64,9,2,2026-02-17
83,7,4,2,2026-05-22
84,79,7,5,2026-07-25
85,66,10,3,2025-11-25
86,37,1,2,2025-12-09
87,20,9,3,2025-08-17
88,24,6,3,2026-05-14
89,27,4,1,2026-03-10
90,47,6,5,2025-11-03
91,25,10,5,2025-09-05
92,82,2,2,2026-04-06
93,76,9,3,2026-04-16
94,9,2,3,2025-12-18
95,11,2,2,2025-08-08
96,8,2,5,2026-02-20
97,40,3,5,2026-03-10
98,4,7,3,2026-01-14
99,70,8,4,2025-08-27
100,29,4,3,2026-02-28
101,49,5,5,2025-08-19
102,68,1,5,2025-12-26
103,94,2,1,2026-03-25
104,88,1,1,2026-07-31
105,55,4,3,2026-03-24
106,25,2,3,2025-10-01
107,76,5,1,2026-01-21
108,34,4,3,2025-08-28
109,81,6,2,2026-03-04
110,5,4,1,2026-03-12
111,2,1,3,2026-03-15
112,49,9,1,2025-12-10
113,1,4,3,2025-09-15
114,69,2,2,2026-06-08
115,53,7,5,2026-01-28
116,61,1,3,2025-12-14
117,11,6,5,2026-04-19
118,49,10,3,2026-01-22
119,27,9,1,2026-03-28
120,74,3,4,2025-08-26
121,61,4,1,2026-04-20
122,15,5,2,2025-11-02
123,60,8,4,2025-12-27
124,85,9,4,2025-10-25
125,59,5,2,2026-03-22
126,87,4,4,2025-10-14
127,29,7,1,2025-08-25
128,18,1,1,2026-07-07
129,84,6,3,2026-05-07
130,90,2,4,2026-02-07
131,86,2,4,2025-11-22
132,12,2,1,2025-10-14
133,76,10,1,2026-04-08
134,18,4,5,2025-11-07
135,40,2,5,2026-07-27
136,32,9,3,2025-11-13
137,16,5,4,2026-07-19
138,57,5,4,2025-10-19
139,56,5,1,2025-10-26
140,85,8,2,2026-07-17
141,100,8,2,2025-08-03
142,59,7,1,2026-04-09
143,96,10,3,2026-04-22
144,69,6,3,2026-07-27
145,39,8,2,2025-12-01
146,90,9,4,2026-05-05
147,82,9,3,2025-12-10
148,84,2,1,2025-11-09
149,28,9,1,2026-06-04
150,45,2,2,2026-04-23
151,9,7,2,2026-01-26
152,79,8,2,2026-07-10
153,98,8,5,2026-01-03
154,27,9,4,2026-06-12
155,50,2,5,2026-05-08
156,62,6,5,2026-02-05
157,29,3,2,2025-11-08
158,82,1,2,2026-02-25
159,5,6,1,2026-07-09
160,95,5,2,2025-09-10
161,85,10,3,2025-08-23
162,92,9,1,2026-02-11
163,28,10,5,2025-09-20
164,21,8,4,2025-08-31
165,79,1,4,2026-02-01
166,57,9,3,2026-06-08
167,77,3,1,2026-01-12
168,90,6,3,2026-01-05
169,63,10,3,2026-04-30
170,18,4,3,2026-07-10
171,87,9,4,2026-04-01
172,97,9,4,2026-02-22
173,20,3,4,2026-06-01
174,83,10,2,2025-12-02
175,44,4,3,2026-05-20
176,72,9,2,2025-08-08
177,81,3,2,2025-10-25
178,47,9,5,2026-01-19
179,17,10,5,2026-07-16
180,69,7,5,2026-01-22
181,5,5,2,2025-10-29
182,72,1,4,2026-02-08
183,21,9,1,2025-08-28
184,9,3,1,2026-02-13
185,100,1,2,2026-05-23
186,56,1,4,2026-03-15
187,68,10,2,2026-07-10
188,29,1,1,2025-08-27
189,60,5,5,2026-05-21
190,53,1,4,2026-06-20
191,32,1,4,2026-01-22
192,59,8,5,2025-12-18
193,74,7,5,2026-04-22
194,39,10,1,2025-08-10
195,66,4,2,2026-06-19
196,13,8,2,2025-08-14
197,34,9,1,2025-09-03
198,77,10,2,2025-10-14
199,74,7,3,2025-11-15
200,57,5,5,2025-08-28
201,3,6,1,2025-12-06
202,56,4,4,2026-06-25
203,86,3,3,2026-04-15
204,40,2,5,2026-03-13
205,7,7,4,2026-05-27
206,45,9,1,2026-05-28
207,93,9,4,2026-03-24
208,84,7,2,2026-05-28
209,42,7,2,2026-05-10
210,66,9,1,2025-12-14
211,44,1,1,2026-02-23
212,80,9,4,2026-07-19
213,40,6,2,2025-11-08
214,64,9,5,2025-08-17
215,91,8,2,2026-05-21
216,5,6,3,2026-03-16
217,52,1,4,2026-05-19
218,97,1,1,2026-06-11
219,25,8,4,2026-02-14
220,24,7,3,2025-10-12
221,73,3,5,2025-10-01
222,55,3,5,2025-08-31
223,84,9,1,2026-01-19
224,23,4,4,2026-02-23
225,54,2,3,2026-07-23
226,66,7,4,2025-12-12
227,42,10,4,2025-10-15
228,75,3,5,2025-11-30
229,31,7,2,2025-10-03
230,18,3,5,2026-02-17
231,21,6,2,2026-04-22
232,51,6,4,2026-03-06
233,67,1,2,2026-06-27
234,54,2,3,2026-07-12
235,72,3,3,2025-11-16
236,36,10,1,2026-02-10
237,41,5,5,2025-10-23
238,9,2,5,2026-05-02
239,60,10,2,2025-12-07
240,1,10,3,2026-03-26
241,53,1,3,2026-01-14
242,22,3,3,2026-07-05
243,59,1,3,2025-08-23
244,20,10,3,2026-05-20
245,29,2,2,2026-06-03
246,1,1,4,2026-04-04
247,24,2,5,2026-07-10
248,67,9,4,2025-10-13
249,60,3,2,2026-02-24
250,45,3,5,2025-10-03
251,46,10,2,2025-10-16
252,59,9,1,2026-01-13
253,99,7,1,2025-10-09
254,35,5,3,2026-06-10
255,55,3,5,2026-01-10
256,41,9,5,2025-09-05
257,34,2,3,2025-11-18
258,57,1,5,2025-11-28
259,24,1,1,2026-06-14
260,74,3,2,2026-06-08
261,55,5,4,2026-01-29
262,76,8,4,2025-09-04
263,15,3,2,2025-11-05
264,29,1,3,2026-06-27
265,10,2,3,2025-09-27
266,94,9,3,2025-10-13
267,87,6,1,2026-03-12
268,42,2,4,2025-09-12
269,30,8,1,2025-08-18
270,22,2,1,2026-01-06
271,55,7,2,2026-06-03
272,61,10,5,2026-01-03
273,74,4,5,2025-09-23
274,22,2,3,2026-07-31
275,15,7,4,2026-01-26
276,8,9,5,2026-05-16
277,72,5,1,2026-03-09
278,57,10,4,2025-09-19
279,63,2,3,2025-08-29
280,21,2,3,2026-01-12
281,91,1,5,2026-03-08
282,82,5,3,2026-02-16
283,22,10,2,2026-03-31
284,38,10,3,2026-06-20
285,69,1,4,2026-06-06
286,69,3,4,2025-12-07
287,81,10,4,2026-03-19
288,57,4,5,2026-06-01
289,25,8,1,2026-01-31
290,10,9,2,2025-08-23
291,25,1,1,2025-12-03
292,9,10,3,2026-01-14
293,44,4,2,2025-12-25
294,9,2,4,2026-05-08
295,48,7,5,2026-01-24
296,55,2,1,2026-02-27
297,28,5,5,2026-04-22
298,53,6,2,2025-12-10
299,60,7,3,2025-12-08
300,75,5,1,2026-01-29
301,100,3,2,2025-12-04
302,79,3,4,2026-07-25
303,100,1,5,2026-03-27
304,69,10,3,2026-04-21
305,72,5,3,2026-01-13
306,44,2,1,2026-04-20
307,11,4,5,2026-07-05
308,71,2,5,2026-04-11
309,56,5,2,2025-09-06
310,22,6,1,2026-04-24
311,69,9,3,2026-05-17
312,14,5,3,2026-05-17
313,6,8,2,2026-03-23
314,32,1,1,2025-08-07
315,30,5,1,2026-01-02
316,3,4,4,2026-04-15
317,3,1,1,2025-12-17
318,40,10,2,2025-09-25
319,35,8,3,2026-04-22
320,58,5,4,2025-09-01
321,12,8,3,2026-06-14
322,49,8,3,2025-09-12
323,53,9,2,2026-07-08
324,44,1,2,2026-05-03
325,11,4,5,2025-12-14
326,81,6,2,2026-07-22
327,45,9,5,2025-12-23
328,92,1,3,2025-11-05
329,34,6,5,2026-04-25
330,40,10,4,2026-05-24
331,63,9,4,2025-12-31
332,11,8,1,2025-08-26
333,55,4,3,2025-11-10
334,91,8,2,2026-05-27
335,6,5,5,2026-03-21
336,74,1,5,2026-04-10
337,39,6,5,2026-01-02
338,25,1,3,2026-06-04
339,58,8,5,2026-01-16
340,26,5,2,2026-01-12
341,89,9,4,2025-10-24
342,24,1,2,2026-03-29
343,34,8,4,2025-09-19
344,3,9,5,2025-12-19
345,92,7,2,2025-09-10
346,31,9,3,2026-05-16
347,99,9,1,2026-02-18
348,87,7,3,2025-08-20
349,8,9,5,2026-04-10
350,18,2,1,2025-11-04
351,33,1,5,2026-05-22
352,68,8,3,2025-12-13
353,77,10,5,2026-05-16
354,16,5,1,2026-05-17
355,100,2,1,2025-08-25
356,8,1,2,2026-07-07
357,79,9,4,2026-04-24
358,67,6,5,2026-05-06
359,23,4,5,2026-05-26
360,26,4,3,2025-11-06
361,1,6,3,2026-02-13
362,14,5,5,2025-08-13
363,43,2,5,2026-01-08
364,38,9,4,2025-10-26
365,5,1,2,2025-10-14
366,92,3,4,2026-07-27
367,97,10,3,2025-12-17
368,55,3,4,2025-09-19
369,55,5,1,2025-10-29
370,10,7,2,2025-12-23
371,61,1,2,2025-09-19
372,20,9,5,2026-06-12
373,54,7,3,2025-08-05
374,53,5,1,2026-01-29
375,28,5,5,2026-04-10
376,84,9,5,2026-04-20
377,25,1,5,2025-09-28
378,92,2,5,2025-10-31
379,61,1,1,2026-03-02
380,64,4,2,2025-10-06
381,9,6,4,2026-03-14
382,90,3,2,2026-01-13
383,91,10,1,2026-01-06
384,41,9,5,2026-01-15
385,58,2,5,2026-06-29
386,63,4,3,2025-11-26
387,85,9,3,2026-03-13
388,22,7,1,2026-01-08
389,55,2,4,2026-04-17
390,53,10,2,2026-07-31
391,32,4,3,2026-06-20
392,20,7,3,2026-02-26
393,68,1,4,2026-07-08
394,65,9,5,2025-11-10
395,94,2,5,2025-08-31
396,74,8,3,2026-03-08
397,25,2,5,2026-05-04
398,47,6,1,2026-07-22
399,21,8,2,2026-02-11
400,65,7,3,2025-12-27
401,43,7,3,2025-08-04
402,75,8,5,2025-10-08
403,47,8,2,2026-01-15
404,57,3,2,2026-05-06
405,61,1,1,2025-07-31
406,36,9,3,2025-11-27
407,52,3,3,2026-04-08
408,28,4,4,2026-06-16
409,64,9,2,2025-10-31
410,42,1,5,2026-04-20
411,32,1,4,2026-06-25
412,88,1,3,2026-04-06
413,64,3,1,2026-02-14
414,19,1,4,2025-10-24
415,85,3,1,2026-02-18
416,43,6,2,2026-05-08
417,55,6,5,2026-06-04
418,74,6,1,2026-06-16
419,31,5,3,2026-03-09
420,17,2,1,2026-05-22
421,41,3,4,2026-05-02
422,3,10,5,2025-11-16
423,93,2,1,2025-12-02
424,36,1,3,2025-09-30
425,9,2,3,2026-05-14
426,44,8,4,2026-05-22
427,69,2,3,2025-08-19
428,14,4,4,2026-02-26
429,78,1,2,2025-11-01
430,84,4,2,2026-07-05
431,53,9,1,2025-08-29
432,68,9,2,2025-08-15
433,32,6,4,2026-05-25
434,77,3,5,2026-01-30
435,60,2,3,2026-06-22
436,27,2,1,2026-07-25
437,47,9,3,2025-08-18
438,2,8,2,2025-11-20
439,42,9,1,2026-06-29
440,27,8,1,2026-04-16
441,74,4,5,2025-08-10
442,75,3,1,2025-09-21
443,37,6,3,2026-01-04
444,15,10,1,2025-11-05
445,79,1,3,2025-11-23
446,77,2,4,2025-11-21
447,68,6,5,2026-02-21
448,49,6,3,2025-08-03
449,49,3,1,2025-12-19
450,21,1,5,2026-02-05
451,39,2,1,2025-08-04
452,61,9,1,2026-07-19
453,99,2,5,2026-03-19
454,37,5,4,2026-03-10
455,79,6,4,2026-07-02
456,25,9,2,2025-10-02
457,87,3,2,2026-06-09
458,54,10,3,2025-11-15
459,92,3,5,2025-12-04
460,49,5,5,2026-05-09
461,23,8,2,2025-12-26
462,20,4,3,2026-07-12
463,14,4,3,2025-09-25
464,54,10,5,2025-10-24
465,67,2,3,2026-05-30
466,13,3,2,2025-08-28
467,98,4,1,2026-06-18
468,7,2,1,2026-01-23
469,68,3,3,2026-05-20
470,79,7,4,2026-06-03
471,89,9,5,2026-07-25
472,27,6,2,2026-01-27
473,24,2,3,2026-07-15
474,24,2,1,2026-07-26
475,26,6,2,2026-07-31
476,99,6,3,2026-03-19
477,79,10,3,2026-02-09
478,4,7,3,2025-11-08
479,43,3,1,2026-06-16
480,84,8,1,2025-11-11
481,49,5,4,2026-07-29
482,14,1,2,2026-07-08
483,3,9,5,2026-06-06
484,9,4,5,2026-03-11
485,68,10,3,2025-09-11
486,4,3,4,2026-02-02
487,70,3,5,2026-01-15
488,42,8,4,2025-10-21
489,60,8,3,2026-02-18
490,2,1,1,2026-01-15
491,15,7,5,2026-04-09
492,64,1,1,2026-05-19
493,52,8,1,2026-05-04
494,82,5,4,2026-06-07
495,23,3,1,2025-11-25
496,76,1,4,2026-04-28
497,83,10,5,2025-08-12
498,98,2,5,2026-02-01
499,65,5,5,2025-08-05
500,35,2,1,2025-08-06
